ID,WBS,Task,Phase,Owner,Start,End,Duration,Notes
A1060,A0,Load-out of AGL TR Unit 1; stool down (10am-11am),LOADOUT,All,2026-01-29,2026-01-29 04:48:00,0.2,
A1070,A0,RoRo ramp removal; Seafastening AGL TR Unit 1 - Crane required,SEAFAST,All,2026-01-29,2026-01-29 00:00:00,0.0,
A1071,A0,Loading of AGI TR Unit 2 on SPMT; lashing,BUFFER,All,2026-01-29,2026-01-29 00:00:00,0.0,
A1072,A0,Shifting of AGL TR Unit 2 to Jetty area,BUFFER,All,2026-01-30,2026-01-30 01:12:00,0.05,
A1073,A0,RoRo Ramp Installation - Crane required,BUFFER,All,2026-01-30,2026-01-30 07:12:00,0.3,
A1074,A0,Load-out of AGI TR Unit 2; stoold down; securing of SPMT (8am-9am),LOADOUT,All,2026-01-30,2026-01-30 07:12:00,0.3,
A1075,A0,Removal of RoRo Ramp; Sea fastening AGI TR Unit 2 - Crane required,SEAFAST,All,2026-01-30,2026-01-30 00:00:00,0.0,
A1080,A0,MWS + MPI + Final Preparations,BUFFER,All,2026-01-31,2026-01-31 04:48:00,0.2,
A1081,A0,Sail-away - Marine Transportation by LCT to Al Ghallan Island,SAIL,All,2026-02-01,2026-02-01 00:00:00,0.0,
A1090,A0,MMT Crew Mob to AGI; Site Induction; Meeting with Client,BUFFER,All,2026-02-02,2026-02-02 00:00:00,0.0,
A1091,A0,LCT Arrival; Berthing at AGL RoRo Jetty,AGI_UNLOAD,All,2026-02-02,2026-02-02 00:00:00,0.0,
A1100,A0,Unlashing and cutting; steel sets preparations - Forklift required,BUFFER,All,2026-02-02,2026-02-02 00:00:00,0.0,
A1110,A0,Load-in of AGI TR Unit 2 (including RoRo Ramp Installation); store on Jetty - Crane required,LOADOUT,All,2026-02-03,2026-02-03 00:00:00,0.0,
A1120,A0,Load-in of AGI TR Unit 1 (including RoRo Ramp Installation); store on Jetty - Crane required,LOADOUT,All,2026-02-04,2026-02-04 00:00:00,0.0,
A1121,A0,LCT Sails back to MZP to collect TR Units 3-4,SAIL,All,2026-02-05,2026-02-05 00:00:00,0.0,
A1122,A0,Steel bridge Installation 1 - Crane required,BUFFER,All,2026-02-05,2026-02-05 07:12:00,0.3,
A1140,A0,AGL TR Unit 1 (TR Bay 4) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer),BUFFER,All,2026-02-05,2026-02-05 16:48:00,0.7,
A1141,A0,Turning of AGI TR Unit 1 (TR Bay 4) - 10t Forklift required,TURNING,All,2026-02-06,2026-02-06 00:00:00,0.0,
A1150,A0,Jacking down of AGI TR Unit 1 (TR Bay 4) on temporary support - Forklift required,JACKDOWN,All,2026-02-09,2026-02-09 00:00:00,0.0,
A1160,A0,Steel bridge Installation 2 - Crane required,BUFFER,All,2026-02-09,2026-02-09 07:12:00,0.3,
A1170,A0,AGL TR Unit 2 (TR Bay 3) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer),BUFFER,All,2026-02-09,2026-02-09 16:48:00,0.7,
A1180,A0,Turning of AGI TR Unit 2 (TR Bay 3) - 10t Forklift required,TURNING,All,2026-02-10,2026-02-10 00:00:00,0.0,
A1181,A0,SPMT shifting back to Port,BUFFER,All,2026-02-11,2026-02-11 00:00:00,0.0,
A1190,A0,Jacking down of AGI TR Unit 2 (TR Bay 3) on temporary support - Forklift and Crane required,JACKDOWN,All,2026-02-13,2026-02-13 00:00:00,0.0,
AGI-010,A0,AGI TR Units 3-4,BUFFER,All,2026-02-06,2026-02-23 00:00:00,17.0,
A1200,A0,LCT arrives to MZP; Deck preparations,DECK_PREP,All,2026-02-06,2026-02-06 00:00:00,0.0,
A1210,A0,Loading of AGI TR Unit 3 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area,BUFFER,All,2026-02-07,2026-02-07 07:12:00,0.3,
A1220,A0,RoRo Ramp Installation - 5t Frokift and Crane required,BUFFER,All,2026-02-07,2026-02-07 07:12:00,0.3,
A1230,A0,Load-out of AGL TR Unit 3; stool down,LOADOUT,All,2026-02-07,2026-02-07 04:48:00,0.2,
A1240,A0,RoRo ramp removal; Seafastening AGL TR Unit 3 - Crane required,SEAFAST,All,2026-02-07,2026-02-07 00:00:00,0.0,
A1250,A0,Loading of AGI TR Unit 4 on SPMT; lashing,BUFFER,All,2026-02-07,2026-02-07 00:00:00,0.0,
A1260,A0,Shifting of AGL TR Unit 4 to Jetty area,BUFFER,All,2026-02-08,2026-02-08 01:12:00,0.05,
A1270,A0,RoRo Ramp Installation - Crane required,BUFFER,All,2026-02-08,2026-02-08 07:12:00,0.3,
A1280,A0,Load-out of AGI TR Unit 4; stoold down; securing of SPMT,LOADOUT,All,2026-02-08,2026-02-08 07:12:00,0.3,
A1290,A0,Removal of RoRo Ramp; Sea fastening AGI TR Unit 4 - Crane required,SEAFAST,All,2026-02-08,2026-02-08 00:00:00,0.0,
A1300,A0,MWS + MPI + Final Preparations,BUFFER,All,2026-02-09,2026-02-09 04:48:00,0.2,
A1310,A0,Sail-away - Marine Transportation by LCT to Al Ghallan Island,SAIL,All,2026-02-10,2026-02-10 00:00:00,0.0,
A1320,A0,LCT Arrival; Berthing at AGL RoRo Jetty,AGI_UNLOAD,All,2026-02-11,2026-02-11 00:00:00,0.0,
A1330,A0,Unlashing and cutting; steel sets preparations - Forklift required,BUFFER,All,2026-02-11,2026-02-11 00:00:00,0.0,
A1340,A0,Load-in of AGI TR Unit 4 (including RoRo Ramp Installation); store on Jetty - Crane required,LOADOUT,All,2026-02-12,2026-02-12 00:00:00,0.0,
A1350,A0,Load-in of AGI TR Unit 3 (including RoRo Ramp Installation); store on Jetty - Crane required,LOADOUT,All,2026-02-13,2026-02-13 00:00:00,0.0,
A1360,A0,LCT Sails back to MZP to collect TR Units 5-6 (LCT must carry back 4pcs of 7.45m beams),SAIL,All,2026-02-14,2026-02-14 00:00:00,0.0,
A1370,A0,Steel bridge Installation 1 - Crane required,BUFFER,All,2026-02-14,2026-02-14 07:12:00,0.3,
A1380,A0,AGL TR Unit 3 (TR Bay 2) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer),BUFFER,All,2026-02-14,2026-02-14 16:48:00,0.7,
A1390,A0,Turning of AGI TR Unit 3 (TR Bay 2) - 10t Forklift required,TURNING,All,2026-02-15,2026-02-15 00:00:00,0.0,
A1400,A0,Jacking down of AGI TR Unit 3 (TR Bay 2) on temporary support - Forklift required,JACKDOWN,All,2026-02-18,2026-02-18 00:00:00,0.0,
A1410,A0,Steel bridge Installation 2 - Crane required,BUFFER,All,2026-02-18,2026-02-18 07:12:00,0.3,
A1420,A0,AGL TR Unit 4 (TR Bay 1) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer),BUFFER,All,2026-02-18,2026-02-18 16:48:00,0.7,
A1430,A0,Turning of AGI TR Unit 4 (TR Bay 1) - 10t Forklift required,TURNING,All,2026-02-19,2026-02-19 00:00:00,0.0,
A1440,A0,SPMT shifting back to Port,BUFFER,All,2026-02-20,2026-02-20 00:00:00,0.0,
A1450,A0,Jacking down of AGI TR Unit 4 (TR Bay 1) on temporary support - Forklift and Crane required,JACKDOWN,All,2026-02-22,2026-02-22 00:00:00,0.0,
AGI-011,A0,AGI TR Units 5-6,BUFFER,All,2026-02-15,2026-03-04 00:00:00,17.0,
A1460,A0,LCT arrives to MZP; Deck preparations,DECK_PREP,All,2026-02-15,2026-02-15 00:00:00,0.0,
A1470,A0,Loading of AGI TR Unit 5 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area,BUFFER,All,2026-02-16,2026-02-16 07:12:00,0.3,
A1480,A0,RoRo Ramp Installation - 5t Frokift and Crane required,BUFFER,All,2026-02-16,2026-02-16 07:12:00,0.3,
A1490,A0,Load-out of AGL TR Unit 5; stool down,LOADOUT,All,2026-02-16,2026-02-16 04:48:00,0.2,
A1500,A0,RoRo ramp removal; Seafastening AGL TR Unit 5 - Crane required,SEAFAST,All,2026-02-16,2026-02-16 00:00:00,0.0,
A1510,A0,Loading of AGI TR Unit 6 on SPMT; lashing,BUFFER,All,2026-02-16,2026-02-16 00:00:00,0.0,
A1520,A0,Shifting of AGL TR Unit 6 to Jetty area,BUFFER,All,2026-02-17,2026-02-17 01:12:00,0.05,
A1530,A0,RoRo Ramp Installation - Crane required,BUFFER,All,2026-02-17,2026-02-17 07:12:00,0.3,
A1540,A0,Load-out of AGI TR Unit 6; stoold down; securing of SPMT,LOADOUT,All,2026-02-17,2026-02-17 07:12:00,0.3,
A1550,A0,Removal of RoRo Ramp; Sea fastening AGI TR Unit 6 - Crane required,SEAFAST,All,2026-02-17,2026-02-17 00:00:00,0.0,
A1560,A0,MWS + MPI + Final Preparations,BUFFER,All,2026-02-18,2026-02-18 04:48:00,0.2,
A1570,A0,Sail-away - Marine Transportation by LCT to Al Ghallan Island,SAIL,All,2026-02-19,2026-02-19 00:00:00,0.0,
A1580,A0,LCT Arrival; Berthing at AGL RoRo Jetty,AGI_UNLOAD,All,2026-02-20,2026-02-20 00:00:00,0.0,
A1590,A0,Unlashing and cutting; steel sets preparations - Forklift required,BUFFER,All,2026-02-20,2026-02-20 00:00:00,0.0,
A1600,A0,Load-in of AGI TR Unit 6 (including RoRo Ramp Installation); store on Jetty - Crane required,LOADOUT,All,2026-02-21,2026-02-21 00:00:00,0.0,
A1610,A0,Load-in of AGI TR Unit 5 (including RoRo Ramp Installation); store on Jetty - Crane required,LOADOUT,All,2026-02-22,2026-02-22 00:00:00,0.0,
A1620,A0,LCT Sails back to MZP to collect TR Unit 7 (LCT must carry back 2pcs of 7.45m beams),SAIL,All,2026-02-23,2026-02-23 00:00:00,0.0,
A1630,A0,Steel bridge Installation 1 - Crane required,BUFFER,All,2026-02-23,2026-02-23 07:12:00,0.3,
A1640,A0,AGL TR Unit 5 (TR Bay 5) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer),BUFFER,All,2026-02-23,2026-02-23 16:48:00,0.7,
A1650,A0,Turning of AGI TR Unit 5 (TR Bay 5) - 10t Forklift required,TURNING,All,2026-02-24,2026-02-24 00:00:00,0.0,
A1660,A0,Jacking down of AGI TR Unit 5 (TR Bay 5) on temporary support - Forklift required,JACKDOWN,All,2026-02-27,2026-02-27 00:00:00,0.0,
A1670,A0,Steel bridge Installation 2 - Crane required,BUFFER,All,2026-02-27,2026-02-27 07:12:00,0.3,
A1680,A0,AGL TR Unit 6 (TR Bay 6) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer),BUFFER,All,2026-02-27,2026-02-27 16:48:00,0.7,
A1690,A0,Turning of AGI TR Unit 6 (TR Bay 6) - 10t Forklift required,TURNING,All,2026-02-28,2026-02-28 00:00:00,0.0,
A1700,A0,SPMT shifting back to Port,BUFFER,All,2026-03-01,2026-03-01 00:00:00,0.0,
A1710,A0,Jacking down of AGI TR Unit 6 (TR Bay 6) on temporary support - Forklift and Crane required,JACKDOWN,All,2026-03-03,2026-03-03 00:00:00,0.0,
AGI-012,A0,AGI TR Unit 7,BUFFER,All,2026-02-24,2026-03-08 00:00:00,12.0,
A1720,A0,LCT arrives to MZP; Deck preparations,DECK_PREP,All,2026-02-24,2026-02-24 00:00:00,0.0,
A1730,A0,Loading of AGI TR Unit 7 on SPMT; lashing; Shifting to Mina Zayed Port RoRo Jetty area,BUFFER,All,2026-02-25,2026-02-25 07:12:00,0.3,
A1740,A0,RoRo Ramp Installation - 5t Frokift and Crane required,BUFFER,All,2026-02-25,2026-02-25 07:12:00,0.3,
A1750,A0,Load-out of AGL TR Unit 7; stool down,LOADOUT,All,2026-02-25,2026-02-25 04:48:00,0.2,
A1760,A0,RoRo ramp removal; Seafastening AGL TR Unit 7 - Crane required,SEAFAST,All,2026-02-25,2026-02-25 00:00:00,0.0,
A1820,A0,MWS + MPI + Final Preparations,BUFFER,All,2026-02-26,2026-02-26 00:00:00,0.0,
A1830,A0,Sail-away - Marine Transportation by LCT to Al Ghallan Island,SAIL,All,2026-02-27,2026-02-27 00:00:00,0.0,
A1840,A0,LCT Arrival; Berthing at AGL RoRo Jetty,AGI_UNLOAD,All,2026-02-28,2026-02-28 00:00:00,0.0,
A1850,A0,Unlashing and cutting; steel sets preparations - Forklift required,BUFFER,All,2026-02-28,2026-02-28 00:00:00,0.0,
A1860,A0,Load-in of AGI TR Unit 7 (including RoRo Ramp Installation); store on Jetty - Crane required,LOADOUT,All,2026-03-01,2026-03-01 00:00:00,0.0,
A1890,A0,Steel bridge Installation - Crane required,BUFFER,All,2026-03-02,2026-03-02 07:12:00,0.3,
A1900,A0,AGL TR Unit 7 (TR Bay 7) load on SPMT; lashing; Transportation and JD (steel set to be delivered to bay area by trailer),BUFFER,All,2026-03-02,2026-03-02 16:48:00,0.7,
A1910,A0,Turning of AGI TR Unit 7 (TR Bay 7) - 10t Forklift required,TURNING,All,2026-03-04,2026-03-04 00:00:00,0.0,
A1920,A0,Jacking down of AGI TR Unit 7 (TR Bay 7) on temporary support - Forklift required,JACKDOWN,All,2026-03-07,2026-03-07 00:00:00,0.0,
A1960,A0,SPMT shifting back to Port,BUFFER,All,2026-03-06,2026-03-06 00:00:00,0.0,
