전체 순번,청구 회차,NO,Voyage No,SUBJECT,INVOICE NUMBER,INVOICE DATE,INVOICE DATE_YEAR_MONTH,COST MAIN,COST CENTER A,COST CENTER B,PRICE CENTER,AGENCY_FEE_FOR_CARGO_CLEARANCE_AMOUNT,AGENCY_FEE_FOR_BERTHING_ARRANGEMENT_AMOUNT,AGENCY_FEE_FOR_FW_SUPPLY_ARRANGEMENT_AMOUNT,AGENCY_FOR_ARRANGEMENT_PTW_AMOUNT,YARD_AMOUNT,OFCO_HANDLING_FEE_AMOUNT,SUPPLY_WATER_5001IG_AMOUNT,FORKLIFT_HIRE_CHARGE_AMOUNT,FORKLIFT_MOB_DE_MOB_CHARGE_AMOUNT,CONSUMABLES_AMOUNT,DIESEL_VESSEL_AMOUNT,DOCUMENT_PROCESSING_CHARGE_AMOUNT,BULK_MATERIAL_SOLIDS_A_PARCEL_SIZE_0_10_001_TONS_DIRECT_DELIVERY_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_14_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_15_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_16_AMOUNT,BULK_MATERIAL_BAGGED_CARGO_19_AMOUNT,PEC_CHANGES_AMOUNT,ANCHORAGE_FEES_FOR_NON_CARGO_VESSELS_AMOUNT,CHANNEL_TRANSIT_CROSSING_REQUEST_AMOUNT,CHANNEL_CROSSING_CHARGES_FOR_VESSELS_WITH_1000_TO_3_001_GT_AMOUNT,GENERAL_WASTE_SERVICE_AMOUNT,PORT_DUES_FOR_VESSELS_WITH_ABOVE_1_000_UP_TO_3_001GT_AMOUNT,BUNKERING_LUBE_OIL_SLUDGE_SULPHUR_BILGE_TRANSFER_BUNKERING_PERMIT_AMOUNT,PORT_DUE_CARGO_AMOUNT,WASTE_HANDLING_AMOUNT,BERTHING_SHIFTING_AMOUNT,PILOTAGE_AMOUNT,PILOT_LAUNCH_AMOUNT,GENERAL_CARGO_AMOUNT,GATE_PASS_AMOUNT,PORT_DUE_AMOUNT,WASTE_HANDLING2_AMOUNT,BUNKERING_AMOUNT,HEAVY_LIFT_20FRT_PROJECT_AMOUNT,MANPOWER_RIGGER_AMOUNT,MANPOWER_BANKSMAN_AMOUNT,MANPOWER_FOREMAN_AMOUNT,MANPOWER_SUPERVISOR_AMOUNT,EQUIPMENT_75TON_CRANE_AMOUNT,EQUIPMENT_100TON_CRAN_AMOUNT,EQUIPMENT_150TON_CRANE_AMOUNT,EQUIPMENT_SPREAD_AMOUNT,OTHERS_AMOUNT,TOTAL_AMOUNT
11,1,11,J71-03,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,4160.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0
12,1,12,J71-04,AGENCY FEE FOR BERTHING ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR BA,AGENCY FEE FOR BERTHING ARRANGEMENT,0.0,1800,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
13,1,13,J71-04,SAFEEN,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,200,6182.5,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6382.5
14,1,14,J71-04,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,PORT DUES & SERVICES CHARGES,PORT DUES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,150,2500.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0
15,1,15,J71-04,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,4160.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0
16,1,16,J71-05,AGENCY FEE FOR CARGO CLEARANCE,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR CC,AGENCY FEE FOR CARGO CLEARANCE,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
17,1,17,J71-05,SUPPLY OF 5000 IG FW,OFCO-INV-1024-191,2024-08-01,2024-08-01,AT COST,AT COST,AT COST(WATER SUPPLY),SUPPLY WATER 5000IG,0.0,0,0,0.0,0.0,0.0,454.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.6
18,1,18,J71-05,AGENCY FEE FOR FW SUPPLY ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR FW SA,AGENCY_FEE_FOR_FW_SUPPLY_ARRANGEMENT,0.0,0,200,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
19,1,19,J71-05,AGENCY FEE FOR BERTHING ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR BA,AGENCY FEE FOR BERTHING ARRANGEMENT,0.0,1800,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
20,1,20,J71-05,SAFEEN,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4000,0.0,200,6182.5,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10382.5
21,1,21,J71-05,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,PORT DUES & SERVICES CHARGES,PORT DUES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,150,1250.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0
22,1,22,J71-05,SAFEEN,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE(PORT DUES & SERVICES CHARGES),PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,200,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
23,1,23,J71-05,AGENCY FOR ARRANGEMENT PTW,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,CONTRACT(AF FOR PTW ARRG),AGENCY FOR ARRANGEMENT PTW,0.0,0,0,150.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0
24,1,24,J71-05,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,4160.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4195.0
25,1,25,J71-06,AGENCY FEE FOR CARGO CLEARANCE,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR CC,AGENCY FEE FOR CARGO CLEARANCE,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
26,1,26,"HVDC-AGI-GRM-J71-ALL-6,12(FUEL SUPPLY)","FUEL SUPPLY (10,000GL)",OFCO-INV-1024-191,2024-08-01,2024-08-01,AT COST,AT COST,AT COST(DIESEL),DIESEL VESSEL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,137280.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137280.0
27,1,27,J71-06,AGENCY FEE FOR BERTHING ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR BA,AGENCY FEE FOR BERTHING ARRANGEMENT,0.0,1800,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
28,1,28,J71-06,SAFEEN,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,200,6182.5,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6382.5
29,1,29,J71-06,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,PORT DUES & SERVICES CHARGES,PORT DUES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,150,2500.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0
30,1,30,J71-06,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,3640.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3675.0
31,1,31,J71-07,AGENCY FEE FOR CARGO CLEARANCE,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR CC,AGENCY FEE FOR CARGO CLEARANCE,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
32,1,32,J71-07,SUPPLY OF 5000 IG FW,OFCO-INV-1024-191,2024-08-01,2024-08-01,AT COST,AT COST,AT COST(WATER SUPPLY),SUPPLY WATER 5000IG,0.0,0,0,0.0,0.0,0.0,454.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.6
33,1,33,J71-07,AGENCY FEE FOR FW SUPPLY ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR FW SA,AGENCY_FEE_FOR_FW_SUPPLY_ARRANGEMENT,0.0,0,200,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
34,1,34,J71-07,AGENCY FEE FOR BERTHING ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR BA,AGENCY FEE FOR BERTHING ARRANGEMENT,0.0,1800,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
35,1,35,J71-07,SAFEEN,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,200,6182.5,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6382.5
36,1,36,J71-07,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,PORT DUES & SERVICES CHARGES,PORT DUES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,150,2500.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2650.0
37,1,37,J71-07,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,3900.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3935.0
38,1,38,J71-08,AGENCY FEE FOR CARGO CLEARANCE,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR CC,AGENCY FEE FOR CARGO CLEARANCE,500.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0
39,1,39,J71-08,AGENCY FEE FOR BERTHING ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR BA,AGENCY FEE FOR BERTHING ARRANGEMENT,0.0,1800,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
40,1,40,J71-08,SAFEEN,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,CHANNEL TRANSIT CHARGES,CHANNEL TRANSIT CHARGES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,200,6182.5,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6382.5
41,1,41,J71-08,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,PORT DUES & SERVICES CHARGES,PORT DUES,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,450,5000.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5450.0
42,1,42,J71-08,SUPPLY OF 5000 IG FW,OFCO-INV-1024-191,2024-08-01,2024-08-01,AT COST,AT COST,AT COST(WATER SUPPLY),SUPPLY WATER 5000IG,0.0,0,0,0.0,0.0,0.0,454.6,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.6
43,1,43,J71-08,AGENCY FEE FOR FW SUPPLY ARRANGEMENT,OFCO-INV-1024-191,2024-08-01,2024-08-01,CONTRACT,CONTRACT,AF FOR FW SA,AGENCY_FEE_FOR_FW_SUPPLY_ARRANGEMENT,0.0,0,200,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
44,1,44,J71-08,ABU DHABI PORTS,OFCO-INV-1024-191,2024-08-01,2024-08-01,PORT HANDLING,PORT HANDLING CHARGE,BULK CARGO HANDLING CHARGES,BULK MATERIAL,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,35,3900.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3935.0
