NO,SCT_Ship_No,PO_No,AWB_No,Vendor,Item,From,To,Ship_Mode,ETA,ATA,Status,Final_Site,Flow_Code,Flow_Desc,Compliance,Customs_Start,Customs_Close,WH_Date,MOSB_Date,Delivery_Date,Weight_KG,CBM,Delay_Days,Remark
14,HVDC-ADOPT-HE-0004,4572116646,GOT36800022,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-02-18,2024-02-18,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-02-19,45341.0,,,2024-02-23,37440.0,469.24,0,
15,HVDC-ADOPT-HE-0005,4572116646,GOT36800026,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-02-10,2024-02-10,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-02-12,45334.0,,2025-06-24,2024-02-15,62538.0,391.3,0,
16,HVDC-ADOPT-HE-0007,4572116646,GOT36800031,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-25,2024-01-20,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-21,45313.0,,,2024-02-02,150000.0,438.83,0,
17,HVDC-ADOPT-HE-0008,4572116646,GOT36800019,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-25,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-21,45313.0,,,2024-01-30,75000.0,219.41,0,
18,HVDC-ADOPT-HE-0009,4572116646,GOT36800019,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-25,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-21,45313.0,,,2024-02-03,120000.0,351.06,0,
19,HVDC-ADOPT-HE-0010,4572116646,GOT36800019,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-25,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-21,45313.0,,,2024-02-05,135000.0,394.94,0,
20,HVDC-ADOPT-HE-0011,4572116646,GOT36800019,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-25,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-21,45313.0,,,2024-02-07,120000.0,351.1,0,
21,HVDC-ADOPT-HE-0020,4572116646,GOT36800019,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-01-25,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-21,45313.0,,,2024-02-08,120000.0,351.06,0,
22,HVDC-ADOPT-HE-0012,4572116646,GOT36800013-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,2025-05-26,2024-01-23,11600.0,41.2,0,
23,HVDC-ADOPT-HE-0013,4572116646,GOT36800013-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,2025-05-26,2024-01-23,5800.0,20.6,0,
24,HVDC-ADOPT-HE-0014,4572116646,GOT36800015-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,,2024-01-26,28800.0,118.09,0,
25,HVDC-ADOPT-HE-0015,4572116646,GOT36800015-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,,2024-01-26,7200.0,29.52,0,
26,HVDC-ADOPT-HE-0016,4572116646,GOT36800014-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,,2024-01-24,11600.0,41.2,0,
27,HVDC-ADOPT-HE-0017,4572116646,GOT36800014-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,,2024-01-24,5800.0,20.6,0,
28,HVDC-ADOPT-HE-0018,4572116646,GOT36800016-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,,2024-01-24,28800.0,118.09,0,
29,HVDC-ADOPT-HE-0019,4572116646,GOT36800016-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-13,2024-01-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-01-17,45309.0,,,2024-01-24,7200.0,29.5,0,
30,HVDC-ADOPT-HE-0021,4572116646,GOT36800021-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-21,2024-01-21,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-01-23,45314.0,,,2024-01-26,25300.0,139.38,0,
31,HVDC-ADOPT-HE-0022,4572116646,GOT36800021-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-01-21,2024-01-21,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-23,45314.0,,,2024-01-26,17800.0,105.1,0,
32,HVDC-ADOPT-HE-0023,4572116646,GOT36800028,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-18,2024-02-18,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-02-19,45341.0,,2024-02-24,2024-02-24,17800.0,105.2,0,
33,HVDC-ADOPT-HE-0024,4572116646,GOT36800051,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-18,2024-02-18,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-02-20,45342.0,,,2024-02-27,12650.0,69.6,0,
34,HVDC-ADOPT-HE-0025,4572116646,GOT36800052,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-18,2024-02-18,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-02-20,45342.0,,,2024-02-27,17700.0,90.6,0,
35,HVDC-ADOPT-HE-0026,4572116646,GOT36800028,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-18,2024-02-18,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-02-19,45341.0,,2024-02-24,2024-02-24,26700.0,157.8,0,
36,HVDC-ADOPT-HE-0027,4572116646,GOT36800025,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-02-29,2024-02-29,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-01,45352.0,,2025-05-26,2024-03-08,37659.0,390.4,0,
37,HVDC-ADOPT-HE-0062,4572116646,1130103348,Hitachi,Main Converter,Copenhagen,Abu Dhabi Airport,A,2024-01-28,2024-01-28,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-01-30,45321.0,,2025-05-20,2024-02-01,2875.0,16.523,0,
38,HVDC-ADOPT-HE-0063,4572116646,1130103354,Hitachi,Main Converter,Amsterdam,Abu Dhabi Airport,A,2024-01-30,2024-01-30,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-02-01,45323.0,,,2024-02-02,605.0,7.021,0,
39,HVDC-ADOPT-HE-0064,4572116646,1130103349,Hitachi,Main Converter,Copenhagen,Abu Dhabi Airport,A,2024-01-29,2024-01-29,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-01-30,45321.0,,,2024-02-01,3320.0,19.19,0,
40,HVDC-ADOPT-HE-0065,4572116646,1130103355,Hitachi,Main Converter,Amsterdam,Abu Dhabi Airport,A,2024-01-30,2024-01-30,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-02-01,45323.0,,,2024-02-02,650.0,7.021,0,
41,HVDC-ADOPT-HE-0066,4572116646,1130103353,Hitachi,Main Converter,Copenhagen,Abu Dhabi Airport,A,2024-01-29,2024-01-29,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-01-30,45321.0,,,2024-02-01,2875.0,16.523,0,
42,HVDC-ADOPT-HE-0067,4572116646,1130103356,Hitachi,Main Converter,Amsterdam,Abu Dhabi Airport,A,2024-01-30,2024-01-30,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-02-01,45323.0,,,2024-02-02,605.0,7.021,0,
43,HVDC-ADOPT-HE-0028,4572116646,GOT36800057,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-29,2024-02-29,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-01,45352.0,,,2024-03-05,18975.0,104.4,0,
44,HVDC-ADOPT-HE-0058,4572116646,GOT36800061,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-29,2024-02-29,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-02,45353.0,,,2024-03-06,26550.0,135.9,0,
45,HVDC-ADOPT-HE-0059,4572116646,GOT36800061,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-29,2024-02-29,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-02,45353.0,,,2024-03-07,26550.0,135.9,0,
46,HVDC-ADOPT-HE-0060,4572116646,GOT36800029,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-02-29,2024-02-29,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-02,45353.0,,2024-03-07,2024-03-07,26700.0,157.8,0,
47,HVDC-ADOPT-PPL-0010,5000675246,nan,Prysmian,320kV HVDC Cable System,Muscat,UAE,B,2024-02-23,2024-02-23,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-02-22,45344.0,,,2024-02-23,1657.0,3.6,0,
48,HVDC-ADOPT-PPL-0011,5000675246,607-31252196,Prysmian,320kV HVDC Cable System,CDG,Abu Dhabi Airport,A,2024-02-28,2024-02-28,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-05,45356.0,,,2024-03-06,50.0,1.31,0,
49,HVDC-ADOPT-PPL-0012,5000675246,057-72107851,Prysmian,320kV HVDC Cable System,CDG,Abu Dhabi Airport,A,2024-03-01,2024-03-01,Arrived,Unknown,4,Port → WH → MOSB → Site,PASS,2024-03-05,45356.0,,,2024-03-10,690.0,4.64,0,
50,HVDC-ADOPT-PPL-0013,5000675246,607-33358732,Prysmian,320kV HVDC Cable System,London,Abu Dhabi Airport,A,2024-03-02,2024-03-02,Arrived,Unknown,4,Port → WH → MOSB → Site,PASS,2024-03-05,45356.0,,,2024-03-06,502.0,2.97,0,
51,HVDC-ADOPT-SCT-0001,5000761114,290-700-2402-027,Dong Yang,Cathodic Protection,Busan Port,Khalifa port,C,2024-03-22,2024-03-22,Arrived,SHU/MIR,4,Port → WH → MOSB → Site,PASS,2024-03-21,45372.0,,,2024-03-28,3408.0,11.244,0,
52,HVDC-ADOPT-SCT-0002,5000734812,KUL00001170,Excellift,Crane and Hoist,Port Klang,Khalifa port,C,2024-05-11,2024-05-11,Arrived,SHU/DAS,4,Port → WH → MOSB → Site,PASS,2024-05-13,45425.0,,,2024-05-15,15149.0,59.296,0,
53,HVDC-ADOPT-SEI-0001,5000684244,UHLF23199OSMI002,Sumitomo,400kV HVDC Cable System,Osaka,Mina Zayed,B,2024-03-19,2024-03-19,Arrived,SHU/DAS,4,Port → WH → MOSB → Site,PASS,2024-03-25,45376.0,,,2024-03-28,4465493.4,4116.48,0,
54,HVDC-ADOPT-SEI-0002,5000684244,UHLF23199OSMI001,Sumitomo,400kV HVDC Cable System,Osaka,Mina Zayed,B,2024-03-19,2024-03-19,Arrived,SHU/DAS,4,Port → WH → MOSB → Site,PASS,2024-03-25,45376.0,,,2024-04-08,127772.0,152.538,0,
55,HVDC-ADOPT-SIM-0001,SCT-19LT-PRC-PO-005,MEDUAX400529,Siemens,400kV and 132kV New Converter GIS,Antwerp,Khalifa port,C,2024-03-14,2024-03-14,Arrived,SHU/DAS/MIR/AGI,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,2024-03-26,2024-03-20,26633.0,55.22,0,
56,HVDC-ADOPT-HE-0053,4572116646,GOT36800042,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-22,2024-03-22,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-24,45375.0,,,2024-04-01,120000.0,351.1,0,
57,HVDC-ADOPT-HE-0054,4572116646,GOT36800041,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-22,2024-03-22,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-24,45375.0,,,2024-03-29,10271.0,121.6,0,
58,HVDC-ADOPT-HE-0056,4572116646,GOT36800058,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-22,2024-03-22,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-25,45376.0,,,2024-04-04,61875.0,655.0,0,
59,HVDC-ADOPT-HE-0029,4572116646,GOT36800063,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-06,2024-03-06,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-07,45358.0,,,2024-03-14,24000.0,105.2,0,
60,HVDC-ADOPT-HE-0071,4572116646,GOT36800064,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-06,2024-03-06,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-07,45358.0,,,2024-03-14,12000.0,52.6,0,
61,HVDC-ADOPT-HE-0061,4572116646,GOT36800030-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-06,2024-03-06,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-08,45359.0,,2024-03-14,2024-03-14,17800.0,105.2,0,
62,HVDC-ADOPT-HE-0074,4572116646,GOT36800030-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-06,2024-03-06,Arrived,DAS,4,Port → WH → MOSB → Site,PASS,2024-03-08,45359.0,,2024-03-14,2024-03-14,8900.0,52.6,0,
63,HVDC-ADOPT-HE-0072,4572116646,GOT36800059,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-07,45358.0,,,2024-03-11,26550.0,135.9,0,
64,HVDC-ADOPT-HE-0057,4572116646,GOT36800062-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-06,2024-03-06,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-08,45359.0,,,2024-03-12,18975.0,104.4,0,
65,HVDC-ADOPT-HE-0075,4572116646,GOT36800062-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-06,2024-03-06,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-08,45359.0,,,2024-03-12,6325.0,34.8,0,
66,HVDC-ADOPT-HE-0069,4572116646,GOT36800067,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-13,2024-03-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-23,26470.0,214.7,0,
67,HVDC-ADOPT-HE-0070,4572116646,GOT36800043,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-13,2024-03-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-19,3170.0,43.3,0,
68,HVDC-ADOPT-HE-0068-1,4572116646,GOT36800044,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-19,2024-03-19,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-22,45373.0,,,2024-03-28,75000.0,219.45,0,
69,HVDC-ADOPT-HE-0080-1,4572116646,GOT36800046,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-19,2024-03-19,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-22,45373.0,,,2024-04-04,39347.0,393.0,0,
70,HVDC-ADOPT-HE-0081,4572116646,GOT36800047,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-19,2024-03-19,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-22,45373.0,,,2024-03-28,150000.0,438.8,0,
71,HVDC-ADOPT-HE-0073,4572116646,GOT36800060-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-20,8850.0,45.3,0,
72,HVDC-ADOPT-HE-0078,4572116646,GOT36800060-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-20,8850.0,45.3,0,
73,HVDC-ADOPT-HE-0030,4572116646,GOT36800037,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-21,24000.0,105.2,0,
74,HVDC-ADOPT-HE-0076,4572116646,GOT36800037,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-20,24000.0,105.2,0,
75,HVDC-ADOPT-HE-0077,4572116646,GOT36800037,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-20,24000.0,105.2,0,
76,HVDC-ADOPT-HE-0068-2,4572116646,GOT36800082,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-27,2024-03-27,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-29,45380.0,,,2024-04-15,105000.0,307.23,0,
77,HVDC-ADOPT-HE-0080-2,4572116646,GOT36800083,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-27,2024-03-27,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-30,45381.0,,,2024-04-17,3927.0,27.1,0,
78,HVDC-ADOPT-HE-0031,4572116646,GOT36800038,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-19,2024-03-19,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-22,45373.0,,,2024-03-27,24000.0,105.2,0,
79,HVDC-ADOPT-HE-0055,4572116646,GOT36800045,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-27,2024-03-27,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-29,45380.0,,,2024-04-23,37440.0,469.3,0,
80,HVDC-ADOPT-HE-0082,4572116646,GOT36800048,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-27,2024-03-27,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-30,45381.0,,,2024-04-02,1815.0,26.0,0,
81,HVDC-ADOPT-HE-0083,4572116646,GOT36800081,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-27,2024-03-27,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-30,45381.0,,,2024-04-17,12110.0,117.0,0,
82,HVDC-ADOPT-HE-0084-1,4572116646,GOT36800049,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-03-27,2024-03-27,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-30,45381.0,,,2024-04-06,255000.0,746.02,0,
83,HVDC-ADOPT-HE-0079,4572116646,GOT36800039-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-27,2024-03-27,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-30,45381.0,,,2024-04-04,12000.0,52.6,0,
84,HVDC-ADOPT-HE-0032,4572116646,GOT36800039-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-27,2024-03-27,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-30,45381.0,,,2024-04-04,12000.0,52.6,0,
85,HVDC-ADOPT-HE-0084-2,4572116646,GOT36800088,Hitachi,Main Converter,Gothenburg,Khalifa port,C,2024-04-05,2024-04-05,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-04-17,45399.0,,,2024-04-24,15000.0,43.9,0,
86,HVDC-ADOPT-HE-0048,4572116646,GOT36800094-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,,2024-03-22,3316.0,20.11562,0,
87,HVDC-ADOPT-HE-0050,4572116646,GOT36800094-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,,2024-03-22,10008.0,44.982,0,
88,HVDC-ADOPT-HE-0051,4572116646,GOT36800094-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,,2024-03-22,5310.0,52.44,0,
89,HVDC-ADOPT-HE-0049,4572116646,GOT36800094-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,,2024-03-22,253.0,1.1,0,
90,HVDC-ADOPT-HE-0052,4572116646,GOT36800094-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,AGI,4,Port → WH → MOSB → Site,PASS,2024-03-18,45369.0,,,2024-03-22,256.0,1.1,0,
91,HVDC-ADOPT-HE-0044,4572116646,GOT36800093-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-04-02,253.0,1.1,0,
92,HVDC-ADOPT-HE-0047,4572116646,GOT36800093-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-04-02,256.0,1.1,0,
93,HVDC-ADOPT-HE-0046,4572116646,GOT36800093-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-04-02,4860.0,44.1,0,
94,HVDC-ADOPT-HE-0043,4572116646,GOT36800093-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-04-02,3316.0,20.11,0,
95,HVDC-ADOPT-HE-0045,4572116646,GOT36800093-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,MIR,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-04-02,10008.0,45.0,0,
96,HVDC-ADOPT-HE-0039,4572116646,GOT36800092-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-23,315.0,1.4,0,
97,HVDC-ADOPT-HE-0042,4572116646,GOT36800092-002,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-23,256.0,1.1,0,
98,HVDC-ADOPT-HE-0038,4572116646,GOT36800092-001,Hitachi,Main Converter,Antwerp,Khalifa port,C,2024-03-13,2024-03-13,Arrived,SHU,4,Port → WH → MOSB → Site,PASS,2024-03-15,45366.0,,,2024-03-23,2260.0,15.22,0,
